date,temp_mean_C,temp_min_C,temp_max_C,precipitation_mm,humidity_percent,wind_speed_ms,year,month,day_of_year,season,temp_range,is_rainy,weather_category
2019-02-23,14.28,7.56,22.92,0.0,46.99,4.35,2019,2,54,Winter,15.360000000000003,0,Cold
2019-02-24,16.04,8.48,26.07,0.0,39.5,3.04,2019,2,55,Winter,17.59,0,Pleasant
2019-02-25,16.57,8.31,25.69,0.0,40.74,2.12,2019,2,56,Winter,17.380000000000003,0,Pleasant
2019-02-26,15.76,10.55,23.45,1.29,43.09,1.87,2019,2,57,Winter,12.899999999999999,1,Pleasant
2019-02-27,13.84,7.62,21.52,0.3,56.99,2.97,2019,2,58,Winter,13.899999999999999,0,Cold
2019-02-28,14.28,8.17,22.87,0.0,47.39,2.85,2019,2,59,Winter,14.700000000000001,0,Cold
2019-03-01,15.81,7.54,25.12,0.0,38.52,2.53,2019,3,60,Summer,17.580000000000002,0,Pleasant
2019-03-02,16.17,10.58,25.62,6.91,54.04,3.41,2019,3,61,Summer,15.040000000000001,1,Pleasant
2019-03-03,16.42,9.45,24.96,0.28,67.98,3.43,2019,3,62,Summer,15.510000000000002,0,Pleasant
2019-03-04,16.98,10.7,23.9,0.92,64.74,2.47,2019,3,63,Summer,13.2,0,Pleasant
2019-03-05,16.73,9.43,25.47,0.0,52.3,3.45,2019,3,64,Summer,16.04,0,Pleasant
2019-03-06,16.64,8.51,25.79,0.0,41.95,3.36,2019,3,65,Summer,17.28,0,Pleasant
2019-03-07,18.49,11.43,27.54,0.0,34.9,2.14,2019,3,66,Summer,16.11,0,Pleasant
2019-03-08,19.41,12.12,28.63,0.0,42.15,2.4,2019,3,67,Summer,16.509999999999998,0,Pleasant
2019-03-09,18.85,11.73,27.88,0.0,47.27,3.71,2019,3,68,Summer,16.15,0,Pleasant
2019-03-10,18.92,10.3,27.55,0.0,42.22,2.63,2019,3,69,Summer,17.25,0,Pleasant
2019-03-11,20.28,12.18,29.79,0.2,42.18,4.87,2019,3,70,Summer,17.61,0,Pleasant
2019-03-12,19.3,12.33,26.95,0.0,47.4,3.59,2019,3,71,Summer,14.62,0,Pleasant
2019-03-13,18.17,13.62,23.95,0.0,43.28,2.45,2019,3,72,Summer,10.33,0,Pleasant
2019-03-14,18.42,11.38,26.5,1.29,46.5,3.23,2019,3,73,Summer,15.12,1,Pleasant
2019-03-15,18.57,10.25,27.97,0.0,47.02,3.24,2019,3,74,Summer,17.72,0,Pleasant
2019-03-16,19.03,11.54,27.74,0.0,40.81,3.06,2019,3,75,Summer,16.2,0,Pleasant
2019-03-17,20.26,12.73,29.91,0.0,35.75,2.81,2019,3,76,Summer,17.18,0,Pleasant
2019-03-18,20.63,11.3,30.39,0.0,34.15,2.68,2019,3,77,Summer,19.09,0,Pleasant
2019-03-19,22.29,12.88,32.0,0.0,35.64,3.23,2019,3,78,Summer,19.119999999999997,0,Pleasant
2019-03-20,23.54,14.38,34.09,0.04,34.44,3.33,2019,3,79,Summer,19.71,0,Pleasant
2019-03-21,22.97,14.44,32.04,0.15,41.06,2.49,2019,3,80,Summer,17.6,0,Pleasant
2019-03-22,22.52,14.57,32.08,0.0,29.84,4.59,2019,3,81,Summer,17.509999999999998,0,Pleasant
2019-03-23,22.57,13.26,33.06,0.0,33.52,4.75,2019,3,82,Summer,19.800000000000004,0,Pleasant
2019-03-24,24.43,14.91,34.62,0.0,41.66,3.75,2019,3,83,Summer,19.709999999999997,0,Pleasant
2019-03-25,23.76,17.7,31.48,0.0,38.83,3.59,2019,3,84,Summer,13.780000000000001,0,Pleasant
2019-03-26,23.41,14.47,33.4,0.0,32.83,3.94,2019,3,85,Summer,18.93,0,Pleasant
2019-03-27,24.8,15.22,34.9,0.0,27.03,3.22,2019,3,86,Summer,19.68,0,Pleasant
2019-03-28,28.04,19.29,36.02,0.0,26.77,2.42,2019,3,87,Summer,16.730000000000004,0,Warm
2019-03-29,29.25,22.19,38.43,0.0,30.99,2.12,2019,3,88,Summer,16.24,0,Warm
2019-03-30,29.58,21.62,38.99,0.12,33.6,2.2,2019,3,89,Summer,17.37,0,Warm
2019-03-31,27.27,19.86,37.26,0.0,24.1,4.62,2019,3,90,Summer,17.4,0,Warm
2019-04-01,25.78,15.65,36.76,0.0,20.77,4.33,2019,4,91,Summer,21.11,0,Warm
2019-04-02,27.74,18.88,37.82,0.0,18.39,2.31,2019,4,92,Summer,18.94,0,Warm
2019-04-03,29.23,19.56,39.21,0.0,19.07,2.34,2019,4,93,Summer,19.650000000000002,0,Warm
2019-04-04,30.05,19.94,40.63,0.0,24.59,2.46,2019,4,94,Summer,20.69,0,Warm
2019-04-05,31.35,21.91,41.51,0.0,25.28,2.39,2019,4,95,Summer,19.599999999999998,0,Warm
2019-04-06,32.14,24.46,41.82,0.01,26.39,2.73,2019,4,96,Summer,17.36,0,Warm
2019-04-07,31.11,23.19,38.87,0.0,24.34,2.14,2019,4,97,Summer,15.679999999999996,0,Warm
2019-04-08,29.27,21.58,37.14,3.2,29.5,2.35,2019,4,98,Summer,15.560000000000002,1,Warm
2019-04-09,29.52,20.45,39.44,0.01,27.83,2.38,2019,4,99,Summer,18.99,0,Warm
2019-04-10,31.37,22.81,40.67,0.0,24.21,2.16,2019,4,100,Summer,17.860000000000003,0,Warm
2019-04-11,31.88,22.9,41.11,0.0,27.2,2.96,2019,4,101,Summer,18.21,0,Warm
2019-04-12,31.85,23.89,40.22,0.05,25.27,3.34,2019,4,102,Summer,16.33,0,Warm
2019-04-13,31.81,23.49,40.54,0.14,29.42,3.42,2019,4,103,Summer,17.05,0,Warm
2019-04-14,32.01,23.51,40.73,0.0,28.71,4.06,2019,4,104,Summer,17.219999999999995,0,Warm
2019-04-15,32.31,24.53,40.42,0.02,30.76,4.62,2019,4,105,Summer,15.89,0,Warm
2019-04-16,27.93,22.26,34.1,0.75,46.82,4.01,2019,4,106,Summer,11.84,0,Warm
2019-04-17,22.78,19.35,26.25,13.12,70.14,3.2,2019,4,107,Summer,6.899999999999999,1,Pleasant
2019-04-18,24.24,18.1,31.05,0.07,58.85,2.07,2019,4,108,Summer,12.95,0,Pleasant
2019-04-19,26.07,18.62,33.26,0.0,43.22,2.41,2019,4,109,Summer,14.639999999999997,0,Warm
2019-04-20,27.33,18.99,35.18,0.0,38.53,2.31,2019,4,110,Summer,16.19,0,Warm
2019-04-21,29.91,20.9,38.95,0.0,33.25,3.01,2019,4,111,Summer,18.050000000000004,0,Warm
2019-04-22,31.56,23.87,40.05,0.0,30.03,2.73,2019,4,112,Summer,16.179999999999996,0,Warm
2019-04-23,33.64,24.34,42.64,0.0,27.44,2.49,2019,4,113,Summer,18.3,0,Warm
2019-04-24,34.03,24.26,42.57,0.0,25.86,1.92,2019,4,114,Summer,18.31,0,Warm
2019-04-25,34.69,27.03,43.75,0.0,21.62,2.96,2019,4,115,Summer,16.72,0,Warm
2019-04-26,33.51,25.11,42.39,0.2,25.33,4.11,2019,4,116,Summer,17.28,0,Warm
2019-04-27,34.16,25.91,42.72,0.0,20.22,5.72,2019,4,117,Summer,16.81,0,Warm
2019-04-28,33.94,25.82,43.01,0.0,17.23,5.33,2019,4,118,Summer,17.189999999999998,0,Warm
2019-04-29,34.16,24.66,43.55,0.0,16.11,3.14,2019,4,119,Summer,18.889999999999997,0,Warm
2019-04-30,34.18,24.5,43.66,0.0,14.75,3.64,2019,4,120,Summer,19.159999999999997,0,Warm
2019-05-01,33.76,24.15,43.04,0.0,15.03,2.82,2019,5,121,Summer,18.89,0,Warm
2019-05-02,33.73,24.65,42.77,0.0,19.05,2.93,2019,5,122,Summer,18.120000000000005,0,Warm
2019-05-03,32.64,24.27,41.47,0.32,21.29,2.89,2019,5,123,Summer,17.2,0,Warm
2019-05-04,31.72,23.38,40.66,1.97,17.59,3.77,2019,5,124,Summer,17.279999999999998,1,Warm
2019-05-05,31.85,22.21,41.41,0.0,14.85,4.14,2019,5,125,Summer,19.199999999999996,0,Warm
2019-05-06,32.99,22.84,42.94,0.0,11.99,4.75,2019,5,126,Summer,20.099999999999998,0,Warm
2019-05-07,33.68,24.09,43.38,0.0,12.85,4.59,2019,5,127,Summer,19.290000000000003,0,Warm
2019-05-08,34.72,25.47,43.76,0.0,16.3,4.97,2019,5,128,Summer,18.29,0,Warm
2019-05-09,35.31,27.62,43.38,0.0,20.6,5.79,2019,5,129,Summer,15.760000000000002,0,Hot
2019-05-10,35.41,28.16,43.01,0.0,21.26,5.0,2019,5,130,Summer,14.849999999999998,0,Hot
2019-05-11,34.4,28.83,42.2,0.05,26.21,3.95,2019,5,131,Summer,13.370000000000005,0,Warm
2019-05-12,33.77,26.25,41.2,0.0,26.22,3.92,2019,5,132,Summer,14.950000000000003,0,Warm
2019-05-13,34.92,26.99,41.92,0.55,21.99,2.16,2019,5,133,Summer,14.930000000000003,0,Warm
2019-05-14,31.97,27.06,37.86,5.28,34.75,3.26,2019,5,134,Summer,10.8,1,Warm
2019-05-15,32.98,26.26,39.4,0.86,31.91,1.7,2019,5,135,Summer,13.139999999999997,0,Warm
2019-05-16,32.4,27.05,38.61,3.42,35.65,2.45,2019,5,136,Summer,11.559999999999999,1,Warm
2019-05-17,30.54,24.65,37.37,10.11,46.82,3.33,2019,5,137,Summer,12.719999999999999,1,Warm
2019-05-18,28.36,22.53,34.45,0.73,54.67,3.5,2019,5,138,Summer,11.920000000000002,0,Warm
2019-05-19,30.89,23.6,38.11,0.0,37.28,3.94,2019,5,139,Summer,14.509999999999998,0,Warm
2019-05-20,32.74,24.95,40.75,0.01,31.04,3.43,2019,5,140,Summer,15.8,0,Warm
2019-05-21,32.36,26.17,40.85,0.13,31.87,3.81,2019,5,141,Summer,14.68,0,Warm
2019-05-22,34.14,27.08,41.56,0.0,28.64,3.09,2019,5,142,Summer,14.480000000000004,0,Warm
2019-05-23,33.69,28.94,40.7,3.63,34.24,2.11,2019,5,143,Summer,11.760000000000002,1,Warm
2019-05-24,32.62,27.83,37.8,0.04,40.19,3.03,2019,5,144,Summer,9.969999999999999,0,Warm
2019-05-25,32.38,25.72,38.99,0.0,33.96,5.12,2019,5,145,Summer,13.270000000000003,0,Warm
2019-05-26,33.12,24.87,41.2,0.0,28.04,4.12,2019,5,146,Summer,16.330000000000002,0,Warm
2019-05-27,34.65,26.0,43.27,0.0,21.66,4.46,2019,5,147,Summer,17.270000000000003,0,Warm
2019-05-28,35.19,25.23,44.43,0.0,17.6,4.48,2019,5,148,Summer,19.2,0,Hot
2019-05-29,37.09,28.03,45.87,0.0,16.73,3.96,2019,5,149,Summer,17.839999999999996,0,Hot
2019-05-30,37.91,28.88,46.74,0.0,14.8,3.87,2019,5,150,Summer,17.860000000000003,0,Hot
2019-05-31,38.59,29.74,47.07,0.0,15.71,4.19,2019,5,151,Summer,17.330000000000002,0,Hot
2019-06-01,39.95,31.35,47.59,0.0,16.52,3.26,2019,6,152,Summer,16.240000000000002,0,Hot
2019-06-02,39.57,31.4,46.54,0.0,14.73,2.59,2019,6,153,Summer,15.14,0,Hot
2019-06-03,39.13,30.37,46.55,0.0,12.93,2.21,2019,6,154,Summer,16.179999999999996,0,Hot
2019-06-04,38.09,29.52,45.82,0.0,18.66,2.45,2019,6,155,Summer,16.3,0,Hot
2019-06-05,39.19,31.94,46.0,0.0,16.63,1.77,2019,6,156,Summer,14.059999999999999,0,Hot
2019-06-06,39.4,34.19,45.82,0.42,16.8,2.84,2019,6,157,Summer,11.630000000000003,0,Hot
2019-06-07,36.91,28.67,43.98,0.08,15.07,2.82,2019,6,158,Summer,15.309999999999995,0,Hot
2019-06-08,38.4,31.33,45.83,0.0,13.71,2.82,2019,6,159,Summer,14.5,0,Hot
2019-06-09,39.22,30.7,47.22,0.0,13.87,3.97,2019,6,160,Summer,16.52,0,Hot
2019-06-10,39.75,30.96,47.94,0.0,12.2,3.95,2019,6,161,Summer,16.979999999999997,0,Hot
2019-06-11,40.18,31.88,47.28,0.0,15.39,4.17,2019,6,162,Summer,15.400000000000002,0,Hot
2019-06-12,40.42,34.28,46.53,1.73,18.47,2.63,2019,6,163,Summer,12.25,1,Hot
2019-06-13,37.45,30.49,43.64,0.01,32.09,3.24,2019,6,164,Summer,13.150000000000002,0,Hot
2019-06-14,37.76,30.77,45.16,0.0,19.91,5.06,2019,6,165,Summer,14.389999999999997,0,Hot
2019-06-15,37.79,30.1,44.98,0.34,26.74,6.72,2019,6,166,Summer,14.879999999999995,0,Hot
2019-06-16,35.76,31.18,40.57,1.02,38.15,6.23,2019,6,167,Summer,9.39,1,Hot
2019-06-17,34.39,29.47,40.02,3.07,44.95,4.8,2019,6,168,Summer,10.550000000000004,1,Warm
2019-06-18,32.59,28.24,37.08,4.62,53.13,2.5,2019,6,169,Summer,8.84,1,Warm
2019-06-19,33.46,27.26,39.9,0.0,40.75,1.64,2019,6,170,Summer,12.639999999999997,0,Warm
2019-06-20,33.69,26.49,40.32,0.0,41.12,2.32,2019,6,171,Summer,13.830000000000002,0,Warm
2019-06-21,35.85,29.68,42.13,0.0,28.86,1.88,2019,6,172,Summer,12.450000000000003,0,Hot
2019-06-22,36.59,29.53,43.34,0.0,26.47,2.45,2019,6,173,Summer,13.810000000000002,0,Hot
2019-06-23,36.49,29.45,43.17,0.01,33.49,3.19,2019,6,174,Summer,13.720000000000002,0,Hot
2019-06-24,35.07,28.63,41.1,0.74,48.43,3.86,2019,6,175,Summer,12.470000000000002,0,Hot
2019-06-25,36.09,31.13,41.04,0.45,43.78,2.34,2019,6,176,Summer,9.91,0,Hot
2019-06-26,37.84,32.2,44.16,0.01,33.35,3.65,2019,6,177,Summer,11.959999999999994,0,Hot
2019-06-27,37.59,31.59,43.71,0.04,29.67,4.31,2019,6,178,Summer,12.120000000000001,0,Hot
2019-06-28,37.92,30.94,44.79,0.06,32.9,4.17,2019,6,179,Summer,13.849999999999998,0,Hot
2019-06-29,38.66,31.86,45.37,0.0,28.98,4.57,2019,6,180,Summer,13.509999999999998,0,Hot
2019-06-30,39.18,32.53,45.89,0.1,26.72,3.97,2019,6,181,Summer,13.36,0,Hot
2019-07-01,38.94,32.67,45.11,0.13,27.25,2.32,2019,7,182,Monsoon,12.439999999999998,0,Hot
2019-07-02,38.65,32.54,44.79,0.24,27.01,3.43,2019,7,183,Monsoon,12.25,0,Hot
2019-07-03,37.59,31.87,43.2,0.33,32.97,3.06,2019,7,184,Monsoon,11.330000000000002,0,Hot
2019-07-04,37.05,32.42,42.51,3.36,37.92,2.68,2019,7,185,Monsoon,10.089999999999996,1,Hot
2019-07-05,34.63,30.61,38.24,17.86,49.78,1.67,2019,7,186,Monsoon,7.630000000000003,1,Warm
2019-07-06,35.09,29.06,41.4,1.77,51.91,2.1,2019,7,187,Monsoon,12.34,1,Hot
2019-07-07,34.05,30.19,38.39,6.66,54.35,1.53,2019,7,188,Monsoon,8.2,1,Warm
2019-07-08,35.86,31.38,40.65,1.61,49.26,2.22,2019,7,189,Monsoon,9.27,1,Hot
2019-07-09,33.68,29.8,38.1,10.16,55.6,4.01,2019,7,190,Monsoon,8.3,1,Warm
2019-07-10,35.07,29.51,40.91,0.48,47.45,4.54,2019,7,191,Monsoon,11.399999999999995,0,Hot
2019-07-11,35.45,29.86,41.14,0.89,44.71,5.7,2019,7,192,Monsoon,11.280000000000001,0,Hot
2019-07-12,35.32,30.48,40.82,0.02,43.56,5.79,2019,7,193,Monsoon,10.34,0,Hot
2019-07-13,35.53,30.93,41.3,0.15,40.74,5.96,2019,7,194,Monsoon,10.369999999999997,0,Hot
2019-07-14,35.39,29.71,41.05,0.49,40.76,4.06,2019,7,195,Monsoon,11.339999999999996,0,Hot
2019-07-15,33.28,29.38,37.45,18.28,57.64,3.09,2019,7,196,Monsoon,8.070000000000004,1,Warm
2019-07-16,31.62,27.97,35.71,17.55,63.11,2.4,2019,7,197,Monsoon,7.740000000000002,1,Warm
2019-07-17,30.82,27.83,34.64,24.29,68.69,1.61,2019,7,198,Monsoon,6.810000000000002,1,Warm
2019-07-18,30.43,27.13,34.58,10.49,72.32,1.06,2019,7,199,Monsoon,7.449999999999999,1,Warm
2019-07-19,32.67,27.32,37.6,0.86,61.28,1.15,2019,7,200,Monsoon,10.280000000000001,0,Warm
2019-07-20,33.27,28.29,37.72,3.73,56.45,1.4,2019,7,201,Monsoon,9.43,1,Warm
2019-07-21,32.36,28.2,36.29,13.44,65.07,2.7,2019,7,202,Monsoon,8.09,1,Warm
2019-07-22,33.26,27.93,38.26,2.95,62.54,1.79,2019,7,203,Monsoon,10.329999999999998,1,Warm
2019-07-23,34.03,29.67,38.24,4.74,59.21,0.96,2019,7,204,Monsoon,8.57,1,Warm
2019-07-24,34.57,29.15,41.34,9.88,59.48,3.58,2019,7,205,Monsoon,12.190000000000005,1,Warm
2019-07-25,29.72,27.24,33.47,7.56,76.82,2.99,2019,7,206,Monsoon,6.23,1,Warm
2019-07-26,29.65,26.3,33.48,9.58,74.63,2.09,2019,7,207,Monsoon,7.179999999999996,1,Warm
2019-07-27,29.22,26.18,33.65,11.65,78.37,3.88,2019,7,208,Monsoon,7.469999999999999,1,Warm
2019-07-28,29.94,26.2,34.59,3.99,75.67,5.0,2019,7,209,Monsoon,8.390000000000004,1,Warm
2019-07-29,31.28,26.93,36.33,0.61,70.74,4.71,2019,7,210,Monsoon,9.399999999999999,0,Warm
2019-07-30,31.73,26.96,36.87,0.0,65.95,4.0,2019,7,211,Monsoon,9.909999999999997,0,Warm
2019-07-31,31.05,26.84,35.3,0.01,66.05,1.96,2019,7,212,Monsoon,8.459999999999997,0,Warm
2019-08-01,31.62,27.13,36.46,0.05,66.44,2.42,2019,8,213,Monsoon,9.330000000000002,0,Warm
2019-08-02,30.81,27.95,34.97,9.43,73.45,2.39,2019,8,214,Monsoon,7.02,1,Warm
2019-08-03,29.39,27.41,32.1,3.92,80.79,2.85,2019,8,215,Monsoon,4.690000000000001,1,Warm
2019-08-04,29.08,26.64,31.36,9.09,81.95,2.59,2019,8,216,Monsoon,4.719999999999999,1,Warm
2019-08-05,31.56,27.16,35.95,7.19,73.22,1.44,2019,8,217,Monsoon,8.790000000000003,1,Warm
2019-08-06,31.74,28.42,35.05,21.64,72.17,1.44,2019,8,218,Monsoon,6.6299999999999955,1,Warm
2019-08-07,29.44,27.17,32.38,7.05,80.19,1.77,2019,8,219,Monsoon,5.210000000000001,1,Warm
2019-08-08,30.68,26.63,35.53,0.07,72.3,2.72,2019,8,220,Monsoon,8.900000000000002,0,Warm
2019-08-09,30.27,27.02,34.31,0.41,73.46,6.34,2019,8,221,Monsoon,7.290000000000003,0,Warm
2019-08-10,29.41,25.93,33.53,0.75,75.65,5.62,2019,8,222,Monsoon,7.600000000000001,0,Warm
2019-08-11,31.2,26.42,35.98,0.11,69.85,2.31,2019,8,223,Monsoon,9.559999999999995,0,Warm
2019-08-12,31.63,26.69,35.73,0.25,68.49,2.1,2019,8,224,Monsoon,9.039999999999996,0,Warm
2019-08-13,32.24,28.18,36.59,6.21,67.83,2.16,2019,8,225,Monsoon,8.410000000000004,1,Warm
2019-08-14,31.19,28.14,34.19,15.91,72.3,1.57,2019,8,226,Monsoon,6.049999999999997,1,Warm
2019-08-15,29.2,26.92,33.03,14.6,81.85,3.72,2019,8,227,Monsoon,6.109999999999999,1,Warm
2019-08-16,28.44,26.14,32.43,5.5,80.78,5.36,2019,8,228,Monsoon,6.289999999999999,1,Warm
2019-08-17,27.89,25.8,31.15,11.47,88.08,4.01,2019,8,229,Monsoon,5.349999999999998,1,Warm
2019-08-18,28.12,25.4,31.9,15.92,84.26,3.74,2019,8,230,Monsoon,6.5,1,Warm
2019-08-19,29.04,23.99,34.32,0.2,74.99,2.63,2019,8,231,Monsoon,10.330000000000002,0,Warm
2019-08-20,29.03,24.51,34.52,0.12,73.74,3.47,2019,8,232,Monsoon,10.010000000000002,0,Warm
2019-08-21,30.49,24.87,36.37,0.4,64.74,2.66,2019,8,233,Monsoon,11.499999999999996,0,Warm
2019-08-22,29.96,25.24,35.77,0.47,65.84,1.99,2019,8,234,Monsoon,10.530000000000005,0,Warm
2019-08-23,30.68,25.86,36.1,0.67,64.27,1.74,2019,8,235,Monsoon,10.240000000000002,0,Warm
2019-08-24,31.67,26.91,37.72,0.47,60.24,1.41,2019,8,236,Monsoon,10.809999999999999,0,Warm
2019-08-25,28.43,25.98,31.22,12.74,80.99,2.11,2019,8,237,Monsoon,5.239999999999998,1,Warm
2019-08-26,28.96,25.63,32.99,0.18,76.7,2.46,2019,8,238,Monsoon,7.360000000000003,0,Warm
2019-08-27,30.53,25.48,35.52,0.01,71.07,2.25,2019,8,239,Monsoon,10.040000000000003,0,Warm
2019-08-28,31.14,26.47,36.11,0.09,70.65,2.84,2019,8,240,Monsoon,9.64,0,Warm
2019-08-29,31.33,27.03,36.12,0.04,68.8,2.33,2019,8,241,Monsoon,9.089999999999996,0,Warm
2019-08-30,30.77,27.24,34.11,0.06,71.65,1.38,2019,8,242,Monsoon,6.870000000000001,0,Warm
2019-08-31,31.83,27.63,36.03,14.02,66.68,1.17,2019,8,243,Monsoon,8.400000000000002,1,Warm
2019-09-01,30.46,27.05,34.68,8.5,76.46,2.42,2019,9,244,Monsoon,7.629999999999999,1,Warm
2019-09-02,30.53,26.9,33.91,0.39,74.93,1.24,2019,9,245,Monsoon,7.009999999999998,0,Warm
2019-09-03,32.12,27.49,36.48,0.36,65.67,1.12,2019,9,246,Monsoon,8.989999999999998,0,Warm
2019-09-04,31.2,27.71,35.47,0.16,71.16,2.28,2019,9,247,Monsoon,7.759999999999998,0,Warm
2019-09-05,31.07,27.05,36.11,0.54,72.67,2.0,2019,9,248,Monsoon,9.059999999999999,0,Warm
2019-09-06,30.64,27.26,33.56,0.7,73.37,1.22,2019,9,249,Monsoon,6.300000000000001,0,Warm
2019-09-07,29.88,27.38,32.26,11.62,78.37,1.62,2019,9,250,Monsoon,4.879999999999999,1,Warm
